No.;Year;Title;Cover
92;1961;Watch It, Sailor!;hound-of-the-baskerville-hammer.jpg
93;1961;A Weekend with Lulu;hound-of-the-baskerville-hammer.jpg
94;1962;Captain Clegg;hound-of-the-baskerville-hammer.jpg
95;1962;The Phantom of the Opera;hound-of-the-baskerville-hammer.jpg
96;1962;The Pirates of Blood River;hound-of-the-baskerville-hammer.jpg
97;1963;The Damned;hound-of-the-baskerville-hammer.jpg
98;1963;Kiss of the Vampire;hound-of-the-baskerville-hammer.jpg
99;1963;Paranoiac;hound-of-the-baskerville-hammer.jpg
100;1963;Maniac;hound-of-the-baskerville-hammer.jpg
101;1963;The Old Dark House;hound-of-the-baskerville-hammer.jpg
102;1963;The Scarlet Blade;hound-of-the-baskerville-hammer.jpg
103;1964;The Curse of the Mummy's Tomb;hound-of-the-baskerville-hammer.jpg
104;1964;The Devil-Ship Pirates;hound-of-the-baskerville-hammer.jpg
105;1964;The Evil of Frankenstein;hound-of-the-baskerville-hammer.jpg
106;1964;The Gorgon;hound-of-the-baskerville-hammer.jpg
107;1964;Nightmare;hound-of-the-baskerville-hammer.jpg
108;1965;The Brigand of Kandahar;hound-of-the-baskerville-hammer.jpg
109;1965;Fanatic;hound-of-the-baskerville-hammer.jpg
110;1965;Hysteria;hound-of-the-baskerville-hammer.jpg
111;1965;She;hound-of-the-baskerville-hammer.jpg
112;1965;The Nanny;hound-of-the-baskerville-hammer.jpg
113;1965;The Secret of Blood Island;hound-of-the-baskerville-hammer.jpg
114;1966;Dracula: Prince of Darkness;hound-of-the-baskerville-hammer.jpg
115;1966;The Plague of the Zombies;hound-of-the-baskerville-hammer.jpg
116;1966;Rasputin the Mad Monk;hound-of-the-baskerville-hammer.jpg
117;1966;The Reptile;hound-of-the-baskerville-hammer.jpg
118;1966;The Witches;hound-of-the-baskerville-hammer.jpg
119;1966;One Million Years B.C.;hound-of-the-baskerville-hammer.jpg
120;1967;A Challenge for Robin Hood;hound-of-the-baskerville-hammer.jpg
121;1967;The Viking Queen;hound-of-the-baskerville-hammer.jpg
122;1967;Frankenstein Created Woman;hound-of-the-baskerville-hammer.jpg
